job_attempt_id,run_chid,attempt_kind,restart_parent_job_attempt_id,attempt_input_sha256,run_core_sha256,attempt_input_path,return_dir,checkpoint_manifest_sha256,T_end_s,fds_version_planned,fds_version_actual,exit_status,allocated_cores,wall_clock_s,prepared_at_utc,status
p_q036_s40_x50_g50_r104729_a01,p_q036_s40_x50_g50_r104729,initial,,9cdc375760f8bc31b4188133921ebb5305fcf6278c77c079486d83c01ce0b3cc,9680a30fe6343b6c20e9d70cf153a3eadb8db3ec2479eda1121ae9cf3d5483f1,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g50_r104729\attempts\p_q036_s40_x50_g50_r104729_a01\p_q036_s40_x50_g50_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g50_r104729\attempts\p_q036_s40_x50_g50_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:11.858533+00:00,AWAITING_EXTERNAL_RUN
p_q036_s40_x50_g25_r104729_a01,p_q036_s40_x50_g25_r104729,initial,,1e7e0f863acfd27d27b9aa9a9bc013402593e240eaa1ef74d6ed70008507c1bb,b9a3402c45a92cceebf3891af78c52052c53d1bf6ee692b62b8dce1a7ad58e93,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g25_r104729\attempts\p_q036_s40_x50_g25_r104729_a01\p_q036_s40_x50_g25_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g25_r104729\attempts\p_q036_s40_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:12.017196+00:00,AWAITING_EXTERNAL_RUN
p_q036_s40_x50_g20_r104729_a01,p_q036_s40_x50_g20_r104729,initial,,f5f8699c19df915c6b1d93d159e49acb7baae161514f5dc6442395c91cb6208b,ad1c8610a18d3c90206206aedac7238162d1d53bd6b6264a9bd6950123b3668e,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g20_r104729\attempts\p_q036_s40_x50_g20_r104729_a01\p_q036_s40_x50_g20_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g20_r104729\attempts\p_q036_s40_x50_g20_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:12.109091+00:00,AWAITING_EXTERNAL_RUN
p_q027_s45_x40_g25_r104729_a01,p_q027_s45_x40_g25_r104729,initial,,da615b84905887875b894b66697e53f173894d5a0533b51424c21f82f37e1343,ef9ba6afb8616a7f1ff72f8bc45ad75ee0b71527130c6cb2d559bb1d157bb8c6,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q027_s45_x40_g25_r104729\attempts\p_q027_s45_x40_g25_r104729_a01\p_q027_s45_x40_g25_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q027_s45_x40_g25_r104729\attempts\p_q027_s45_x40_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:12.297174+00:00,AWAITING_EXTERNAL_RUN
p_q027_s45_x50_g25_r104729_a01,p_q027_s45_x50_g25_r104729,initial,,993997b2b177cbe972292ce1a73bdd903478d1ea5577c849eebd83599da2cd42,45a05cb9c2af74c979a073ace38abc03a018dc25d31992a9b66daa290cdee65e,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q027_s45_x50_g25_r104729\attempts\p_q027_s45_x50_g25_r104729_a01\p_q027_s45_x50_g25_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q027_s45_x50_g25_r104729\attempts\p_q027_s45_x50_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:13.079674+00:00,AWAITING_EXTERNAL_RUN
p_q027_s45_x60_g25_r104729_a01,p_q027_s45_x60_g25_r104729,initial,,c49c96ae3d23a40e48d87667eba856e10d5c9c9f47b0957fd6ba3de27ea69631,f5b2f87dbefbbff53372ac9c66a7381a2e37cbb297bbebb62901cfedd609e780,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q027_s45_x60_g25_r104729\attempts\p_q027_s45_x60_g25_r104729_a01\p_q027_s45_x60_g25_r104729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q027_s45_x60_g25_r104729\attempts\p_q027_s45_x60_g25_r104729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:13.830802+00:00,AWAITING_EXTERNAL_RUN
p_q018_s40_x50_g25_r204729_a01,p_q018_s40_x50_g25_r204729,initial,,13b38494e32fbcb345de9428b8ba17fc1259132cbca8f16b9d02993354e9f272,5dace9b672937995f3038a11c08893eb18dd9d1bbf553ce54ab31b8d306a0e0b,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g25_r204729\attempts\p_q018_s40_x50_g25_r204729_a01\p_q018_s40_x50_g25_r204729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g25_r204729\attempts\p_q018_s40_x50_g25_r204729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:14.107310+00:00,AWAITING_EXTERNAL_RUN
p_q018_s40_x50_g25_r304729_a01,p_q018_s40_x50_g25_r304729,initial,,591ee982681a11eca168c3b8641aa3e31a74f0daf2aedf0554122859e7c63c2e,50946bf83e8cc63d59de628f07b96c73eccadf6a38264e30acfb0ab296397acf,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g25_r304729\attempts\p_q018_s40_x50_g25_r304729_a01\p_q018_s40_x50_g25_r304729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q018_s40_x50_g25_r304729\attempts\p_q018_s40_x50_g25_r304729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:14.278342+00:00,AWAITING_EXTERNAL_RUN
p_q036_s40_x50_g25_r204729_a01,p_q036_s40_x50_g25_r204729,initial,,032d519e960960fa6dc063b5e89875515cc9e2e31cc82540aaf4289e911a65d8,25336a2c0683723d5a2fec14665864d678df8feff1cd8072b9f40a130ec5a0e0,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g25_r204729\attempts\p_q036_s40_x50_g25_r204729_a01\p_q036_s40_x50_g25_r204729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g25_r204729\attempts\p_q036_s40_x50_g25_r204729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:14.614449+00:00,AWAITING_EXTERNAL_RUN
p_q036_s40_x50_g25_r304729_a01,p_q036_s40_x50_g25_r304729,initial,,30e771987ccd0644356ed7cbd30da9de63fc87da2cd9c9cef84ae5bcbac702f4,15c0d5b924726d0f9848fc2df56dddbb3a372f24064518d2e7144593ab6ec5af,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g25_r304729\attempts\p_q036_s40_x50_g25_r304729_a01\p_q036_s40_x50_g25_r304729.fds,C:\Users\xiao.cheng\Desktop\科研\runs\pilot\p_q036_s40_x50_g25_r304729\attempts\p_q036_s40_x50_g25_r304729_a01,,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),,,,,2026-08-18T14:01:14.826019+00:00,AWAITING_EXTERNAL_RUN
