subset,purpose,case_kind,parent_case_id,physical_case_id,run_chid,replicate_id,Q_requested_MW,Af_requested_m2,Af_discrete_m2,Df_requested_m,Df_discrete_m,burner_side_requested_m,burner_bounds,xf_requested_m,xf_actual_m,yf_actual_m,dx_m,mesh_profile,sensor_profile,output_profile,rnd_seed,T_end_s,fds_version_planned,run_core_sha256,source_input_path,status
pilot,grid_high,fire,p_q036_s40,p_q036_s40_x50,p_q036_s40_x50_g50_r104729,r104729,36,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.5,no_wind_symmetric_v1,no_wind_global_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),9680a30fe6343b6c20e9d70cf153a3eadb8db3ec2479eda1121ae9cf3d5483f1,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q036_s40_x50_g50_r104729.fds,PREPARED_G2_PILOT
pilot,grid_high,fire,p_q036_s40,p_q036_s40_x50,p_q036_s40_x50_g25_r104729,r104729,36,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,heavy,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),b9a3402c45a92cceebf3891af78c52052c53d1bf6ee692b62b8dce1a7ad58e93,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q036_s40_x50_g25_r104729.fds,PREPARED_G2_PILOT
pilot,grid_high,fire,p_q036_s40,p_q036_s40_x50,p_q036_s40_x50_g20_r104729,r104729,36,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.2,no_wind_symmetric_v1,no_wind_global_v1,light,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),ad1c8610a18d3c90206206aedac7238162d1d53bd6b6264a9bd6950123b3668e,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q036_s40_x50_g20_r104729.fds,PREPARED_G2_PILOT
pilot,opening_translation,fire,p_q027_s45,p_q027_s45_x40,p_q027_s45_x40_g25_r104729,r104729,27,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[37.75, 42.25, 2.75, 7.25]",40,40,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,heavy,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),ef9ba6afb8616a7f1ff72f8bc45ad75ee0b71527130c6cb2d559bb1d157bb8c6,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q027_s45_x40_g25_r104729.fds,PREPARED_G2_PILOT
pilot,opening_translation,fire,p_q027_s45,p_q027_s45_x50,p_q027_s45_x50_g25_r104729,r104729,27,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[47.75, 52.25, 2.75, 7.25]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,heavy,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),45a05cb9c2af74c979a073ace38abc03a018dc25d31992a9b66daa290cdee65e,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q027_s45_x50_g25_r104729.fds,PREPARED_G2_PILOT
pilot,opening_translation,fire,p_q027_s45,p_q027_s45_x60,p_q027_s45_x60_g25_r104729,r104729,27,20.25,20.25,5.07770625192981,5.07770625192981,4.5,"[57.75, 62.25, 2.75, 7.25]",60,60,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,heavy,104729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),f5b2f87dbefbbff53372ac9c66a7381a2e37cbb297bbebb62901cfedd609e780,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q027_s45_x60_g25_r104729.fds,PREPARED_G2_PILOT
pilot,seed_repeat_low,fire,p_q018_s40,p_q018_s40_x50,p_q018_s40_x50_g25_r204729,r204729,18,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,light,204729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),5dace9b672937995f3038a11c08893eb18dd9d1bbf553ce54ab31b8d306a0e0b,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q018_s40_x50_g25_r204729.fds,PREPARED_G2_PILOT
pilot,seed_repeat_low,fire,p_q018_s40,p_q018_s40_x50,p_q018_s40_x50_g25_r304729,r304729,18,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,light,304729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),50946bf83e8cc63d59de628f07b96c73eccadf6a38264e30acfb0ab296397acf,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q018_s40_x50_g25_r304729.fds,PREPARED_G2_PILOT
pilot,seed_repeat_high,fire,p_q036_s40,p_q036_s40_x50,p_q036_s40_x50_g25_r204729,r204729,36,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,light,204729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),25336a2c0683723d5a2fec14665864d678df8feff1cd8072b9f40a130ec5a0e0,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q036_s40_x50_g25_r204729.fds,PREPARED_G2_PILOT
pilot,seed_repeat_high,fire,p_q036_s40,p_q036_s40_x50,p_q036_s40_x50_g25_r304729,r304729,36,16,16,4.51351666838205,4.51351666838205,4.0,"[48.0, 52.0, 3.0, 7.0]",50,50,5,0.25,no_wind_symmetric_v1,no_wind_global_v1,light,304729,300,6.10.1 (FDS-6.10.1-0-g12efa16-release),15c0d5b924726d0f9848fc2df56dddbb3a372f24064518d2e7144593ab6ec5af,C:\Users\xiao.cheng\Desktop\科研\fds_inputs\pilot\g2\p_q036_s40_x50_g25_r304729.fds,PREPARED_G2_PILOT
